pair,MEM1,MEM2,infection1,infection2,dataset1,dataset2,Jaccard
"('Gimme_model_H_NHBE_alt', 'INIT_model_I_CALU_alt')",GIMME,INIT,healthy,infected,HBE,Calu-3,0.25481948825797407
"('Gimme_model_H_NHBE_alt', 'INIT_model_I_Lung_alt')",GIMME,INIT,healthy,infected,HBE,Lung,0.24466918484220787
"('Gimme_model_H_NHBE_alt', 'INIT_model_I_NHBE')",GIMME,INIT,healthy,infected,HBE,HBE,0.27153284671532846
"('Gimme_model_H_NHBE_alt', 'tINIT_model_H_293T_alt')",GIMME,tINIT,healthy,healthy,HBE,293T,0.2368452030606239
"('Gimme_model_H_NHBE_alt', 'tINIT_model_H_A549_alt')",GIMME,tINIT,healthy,healthy,HBE,A549,0.28920454545454544
"('Gimme_model_H_NHBE_alt', 'tINIT_model_H_CALU_alt')",GIMME,tINIT,healthy,healthy,HBE,Calu-3,0.2693676116148284
"('Gimme_model_H_NHBE_alt', 'tINIT_model_H_Lung_alt')",GIMME,tINIT,healthy,healthy,HBE,Lung,0.27118851956335094
"('Gimme_model_H_NHBE_alt', 'tINIT_model_H_NHBE')",GIMME,tINIT,healthy,healthy,HBE,HBE,0.2948211936371247
"('Gimme_model_H_NHBE_alt', 'tINIT_model_I_293T_alt')",GIMME,tINIT,healthy,infected,HBE,293T,0.221922511034821
"('Gimme_model_H_NHBE_alt', 'tINIT_model_I_A549_alt')",GIMME,tINIT,healthy,infected,HBE,A549,0.27911508482347547
"('Gimme_model_H_NHBE_alt', 'tINIT_model_I_CALU_alt')",GIMME,tINIT,healthy,infected,HBE,Calu-3,0.262956964368348
"('Gimme_model_H_NHBE_alt', 'tINIT_model_I_Lung_alt')",GIMME,tINIT,healthy,infected,HBE,Lung,0.2516786570743405
"('Gimme_model_H_NHBE_alt', 'tINIT_model_I_NHBE')",GIMME,tINIT,healthy,infected,HBE,HBE,0.27477261847774054
"('Gimme_model_H_293T_alt', 'Gimme_model_I_293T_alt')",GIMME,GIMME,infected,healthy,293T,293T,0.9385206532180596
"('Gimme_model_H_A549_alt', 'Gimme_model_I_293T_alt')",GIMME,GIMME,infected,healthy,293T,A549,0.8144224633056797
